dsld_id,label_url,product_name,max_grams,selected_source_rowid,unresolved_rows,suggested_use,review_status,dosage_form,serving_basis,daily_min_g,daily_max_g,reviewer,reviewed_on,notes,direction_type,units_per_recorded_serving,daily_units_min,daily_units_max,phase
2707,https://dsld.od.nih.gov/label/2707,Chewable Creatine Monohydrate Orange,2.5,22311,0,,source_text_reviewed,Other (e.g. tea bag) [E0172],1 Wafer(s),,,ChatGPT; Abdullah review pending,2026-09-08,No Suggested Use text; facts serving quantity is null.,missing,,,,
18777,https://dsld.od.nih.gov/label/18777,Creatine Plasma Exotic Fruit,2.5,173767,0,RECOMMENDED USE: Shake well prior to use. Dispense 10mL (1 full Delivery Detonator(TM)) of CREATINE PLASMA(TM) into mouth and swallow. CREATINE PLASMA(TM) can be stacked with POWER SHOCK(R); PROTEIN RUSH(R) and MELTDOWN(R) FAT INCINERATOR(TM).,source_text_reviewed,Liquid [E0165],10 mL [1 full Delivery Detonator],,,ChatGPT; Abdullah review pending,2026-09-08,10 mL per use; no daily frequency specified.,frequency_unspecified,,,,
23068,https://dsld.od.nih.gov/label/23068,Creatine Monohydrate Powder,2.5,216280,0,Directions: As a dietary supplement; take 2.5 grams (1 tsp) daily; preferably before working out. Individual needs vary greatly. Drink lots of water.,source_text_reviewed,Powder [E0162],2500 mg,2.5,2.5,ChatGPT; Abdullah review pending,2026-09-08,2.5 g once daily.,fixed_daily,1,1,1,ordinary
31651,https://dsld.od.nih.gov/label/31651,Creatine Plasma Bubble Gum,2.5,304041,0,SHAKE WELL BEFORE EACH USE. RECOMMENDED USE: Shake well prior to use. Dispense 10mL (1 full Delivery Detonator(TM)) of CREATINE PLASMA(TM) into mouth and swallow. CREATINE PLASMA(TM) can be stacked with POWER SHOCK(R); PROTEIN RUSH(R) and MELTDOWN(R) FAT INCINERATOR(TM). Use Delivery Detanator(TM) to administer correct dose.,source_text_reviewed,Liquid [E0165],10 mL [1 full Delivery Detonator],,,ChatGPT; Abdullah review pending,2026-09-08,10 mL per use; no daily frequency specified.,frequency_unspecified,,,,
35999,https://dsld.od.nih.gov/label/35999,Ribose Energy With Creatine,2.5,345681,0,SUGGESTED USAGE: As a dietary supplement; mix 2 1/2 level teaspoons in juice or water 2 to 3 times daily; preferably before and after exercise. Do not exceed recommended dodage. Consider taking these other NOW(R) products:  Pyruvate and Carbo Gain.,source_text_reviewed,Powder [E0162],2.5 tsp [5.25 g],5.0,7.5,ChatGPT; Abdullah review pending,2026-09-08,One 2.5 tsp serving two to three times daily.,daily_range,1,2,3,ordinary
56107,https://dsld.od.nih.gov/label/56107,Creatine Monohydrate,0.75,548386,0,Suggested Usage: As a dietary supplement; adults take 1/4 teaspoon daily or as directed by your healthcare professional.,source_text_reviewed,Powder [E0162],0.25 tsp [approx. .75 g],0.75,0.75,ChatGPT; Abdullah review pending,2026-09-08,Quarter teaspoon daily; alternative practitioner direction is unspecified.,fixed_daily,1,1,1,ordinary
57461,https://dsld.od.nih.gov/label/57461,Creatine 2500 Caps,2.5,560717,0,SUGGESTED USE: Take 2 capsules with morning; afternoon; and evening meals. Intended for use in healthy adults and as a part of a healthy; balanced diet and exercise program.,source_text_reviewed,Capsule [E0159],2 Capsule(s),7.5,7.5,ChatGPT; Abdullah review pending,2026-09-08,Two capsules with each of three meals.,fixed_daily,2,6,6,ordinary
57463,https://dsld.od.nih.gov/label/57463,Creatine 2500 Caps,2.5,560722,0,SUGGESTED USE: Take 2 capsules with morning; afternoon; and evening meals. Intended for use in healthy adults and as part of a healthy; balanced diet and exercise program. TIPS: Consuming carbohydrates helps with muscle retention of creatine.,source_text_reviewed,Capsule [E0159],2 Capsule(s),7.5,7.5,ChatGPT; Abdullah review pending,2026-09-08,Two capsules with each of three meals.,fixed_daily,2,6,6,ordinary
57466,https://dsld.od.nih.gov/label/57466,Creatine 2500 Caps,2.5,560760,0,SUGGESTED USE: Take 2 capsules with morning; afternoon; and evening meals. Intended for use in healthy adults and as part of a healthy; balanced diet and exercise program. TIPS: Consuming carbohydrates helps with muscle retention of creatine.,source_text_reviewed,Capsule [E0159],2 Capsule(s),7.5,7.5,ChatGPT; Abdullah review pending,2026-09-08,Two capsules with each of three meals.,fixed_daily,2,6,6,ordinary
58289,https://dsld.od.nih.gov/label/58289,Clean Creatine Fruit Punch,2.5,568191,0,,source_text_reviewed,Powder [E0162],1 Scoop(s) [10 g]; 10 Gram(s) [1 Scoop],,,ChatGPT; Abdullah review pending,2026-09-08,No Suggested Use text; facts serving quantity is null.,missing,,,,
64218,https://dsld.od.nih.gov/label/64218,Creatine Capsules,1.5,616950,0,Dosage: As a dietary supplement during normal training schedules; take 2-3 capsules twice daily. When preparing for competition or under intense training schedules; take 2-3 capsules three times daily. For best results take capsules with meals.,source_text_reviewed,Capsule [E0159],2 Capsule(s),3.0,4.5,ChatGPT; Abdullah review pending,2026-09-08,Two to three capsules twice daily; intense-training directions separately specify three times daily.,phase_range,2,4,6,normal_training
64229,https://dsld.od.nih.gov/label/64229,Creatine Capsules,1.5,617057,0,Dosage: As a dietary supplement during normal training schedules; take 2-3 capsules twice daily. When preparing for competition or under intense training schedules; take 2-3 capsules three times daily. For best results take capsules with meals.,source_text_reviewed,Capsule [E0159],2 Capsule(s),3.0,4.5,ChatGPT; Abdullah review pending,2026-09-08,Two to three capsules twice daily; intense-training directions separately specify three times daily.,phase_range,2,4,6,normal_training
64731,https://dsld.od.nih.gov/label/64731,100% Pure Creatine Monohydrate,2.25,624346,0,Directions: Loading Phase: Take seven (7) capsules four (4) times daily with 8-12 oz water. Maintenance Phase: Days 6 and beyond: Take three (3) to five (5) capsules daily with 8-12 oz of water.,source_text_reviewed,Capsule [E0159],7 Capsule(s); 3 Capsule(s),2.25,3.75,ChatGPT; Abdullah review pending,2026-09-08,Three to five capsules daily after loading; loading instructions are not this estimate.,phase_range,3,3,5,maintenance
71585,https://dsld.od.nih.gov/label/71585,Creatine Monohydrate 2800 mg,2.8,701197,0,Suggested Use: As a dietary supplement; take one serving (4 capsules) 15-30 minutes before exercise. Taken up to twice daily; once as a pre-workout and/or again as a post-workout. For best results; follow a diet and exercise program to maximize your potential. Drinking an additional 16 to 32 ounces of water when using creatine is recommended. Morning Pre During Post Night,source_text_reviewed,Capsule [E0159],4 Capsule(s),2.8,5.6,ChatGPT; Abdullah review pending,2026-09-08,One four-capsule serving; up to twice daily around exercise; rest-day frequency not established.,daily_range,4,4,8,training_day
183678,https://dsld.od.nih.gov/label/183678,Creatine Monohydrate,2.25,927487,0,Directions: Loading Phase: Days 1-5: Take seven (7) capsules four (4) times daily with 8-12 oz. water.Maintenance Phase: Days 6 and beyond: Take three (3) to five (5) capsules daily with 8-12 oz of water.,source_text_reviewed,Capsule [E0159],3 Capsule(s),2.25,3.75,ChatGPT; Abdullah review pending,2026-09-08,Three to five capsules daily after days 1-5 loading.,phase_range,3,3,5,maintenance
183686,https://dsld.od.nih.gov/label/183686,Creatine Monohydrate,2.25,927505,0,Directions: Loading Phase: Days 1-5: Take seven (7) capsules four (4) times daily with 8-12 oz. water. Maintenance Phase: Days 6 and beyond: Take three (3) to five (5) capsules daily with 8-12 oz. of water.,source_text_reviewed,Capsule [E0159],3 Capsule(s),2.25,3.75,ChatGPT; Abdullah review pending,2026-09-08,Three to five capsules daily after days 1-5 loading.,phase_range,3,3,5,maintenance
