dsld_id,matching_rows,usable_rows,unresolved_rows,distinct_amounts,min_grams,max_grams,selected_source_rowid,product_name,raw_market_status,market_status,suggested_use,name_group,threshold_category
10571,1,1,0,1,5.0,5.0,99909,Creatine Powder HPLC Pure Creatine Monohydrate,Off Market,off_market,DIRECTIONS: For adults; take one (1) heaping teaspoon (5 g) daily. Mix with juice or other glucose containing liquid. Creatine should be consumed within 10 minutes after mixing. Take this product with an adequate fluid intake. It is important to check with your health care providers before beginning any diet or exercise program. Use in conjunction with an intense daily exercise program and a balanced diet including an adequate caloric intake.,name_contains_creatine,at_least_3g
10572,1,1,0,1,4.2,4.2,99910,Hardcore Formula Creatine Caps 700 mg,Off Market,off_market,Use in conjunction with an intense daily exercise program and a balanced diet including an adequate caloric intake. Directions: For adults; take 6 capsules daily with juice or other glucose-containing liquid. Take this product with an adequate fluid intake.,name_contains_creatine,at_least_3g
10740,1,1,0,1,0.75,0.75,101141,Creatine Monohydrate,Off Market,off_market,Suggested Usage: As a dietary supplement; adults take 1/4 teaspoon daily or as directed by your healthcare professional.,name_contains_creatine,below_3g
10939,1,1,0,1,0.2,0.2,102532,MitoTone,Off Market,off_market,Suggested Usage:As a dietary supplement; adults take 2 tablets daily or as directed by physician.,name_without_creatine,below_3g
10960,1,1,0,1,5.0,5.0,102605,Myo-Gen,On Market,on_market,Suggested Usage:As a dietary supplement; adults take 1 slightly heaping scoop (approx 7 grams) daily. Can be taken with meals. Mix with water; non-acidic juices or other beverages.,name_without_creatine,at_least_3g
12395,2,2,0,2,1.667,5.0,114062,Nano Vapor Fruit Punch,Off Market,off_market,DIRECTIONS: This is an extremely strong product. Please read the entire directions before consuming; and follow the tolerance assessment protocol. Assess your tolerance first by mixing 1 serving (1 scoop) with 4 oz. of cold water and drinking it about 30 minutes before your daily workout. Then increase the dosage to 2 and then 3 servings mixed with 8 to 12 oz. of cold water before working out. Do not exceed 3 servings (3 scoops) in a 24-hour period. Maintain an adequate state of hydration during use.,name_without_creatine,at_least_3g
12442,3,3,0,2,5.0,10.0,114470,MASS TECH Vanilla,Off Market,off_market,Directions: Mix 1 serving (5 scoops) with 16 oz. of water or skim milk and consume either in the morning; between meals or post-workout. If preferred; you can consume 1/2 serving twice daily. Read the entire label before use and follow directions provided.,name_without_creatine,at_least_3g
12478,1,1,0,1,3.0,3.0,114939,Nitro Tech Cookies And Cream,Off Market,off_market,Directions: Mix 1 serving (1 scoop) with 4 to 6 oz. or mix 2 servings (2 scoops) with 8 to 12 oz. of cold water or skim milk in a glass or shaker cup. Use between major meals and after exercise. Drink 8 to 10 glasses of water daily. For maximum results; consume 4 scoops of NITRO-TECH(R) daily for a minimum of six weeks.,name_without_creatine,at_least_3g
12492,1,1,0,1,3.0,3.0,115007,NITRO TECH Strawberry,Off Market,off_market,Directions: Mix 1 serving (1 scoop) with 4 to 6 oz. or mix 2 servings (2 scoops) with 8 to 12 oz. of cold water or skim milk in a glass or shaker cup. Use between major meals and after exercise. Drink 8 to 10 glasses of water daily. For maximum results; consume 4 scoops of NITRO-TECH(R) daily for a minimum of six weeks.,name_without_creatine,at_least_3g
12494,1,1,0,1,3.0,3.0,115028,Nitro Tech Cookies And Cream,Off Market,off_market,Directions: Mix 1 serving (1 scoop) with 4 to 6 oz. or mix 2 servings (2 scoops) with 8 to 12 oz. of cold water or skim milk in a glass or shaker cup. Use between major meals and after exercise. Drink 8 to 10 glasses of water daily. For maximum results; consume 4 scoops of NITRO-TECH(R) daily for a minimum of six weeks.,name_without_creatine,at_least_3g
12498,1,1,0,1,3.0,3.0,115058,Nitro Tech Strawberry,Off Market,off_market,Directions: Mix 1 serving (1 scoop) with 4 to 6 oz. or mix 2 servings (2 scoops) with 8 to 12 oz. of cold water or skim milk in a glass or shaker cup. Use between major meals and after exercise. Drink 8 to 10 glasses of water daily. For maximum results; consume 4 scoops of NITRO-TECH(R) daily for a minimum of six weeks.,name_without_creatine,at_least_3g
12499,1,1,0,1,3.0,3.0,115077,NITRO TECH Vanilla,Off Market,off_market,Shake container before use. Directions: Mix 1 serving (1 scoop) with 4 to 6 oz. or mix 2 servings (2 scoops) with 8 to 12 oz. of cold water or skim milk in a glass or shaker cup. Use between major meals and after exercise. Drink 8 to 10 glasses of water daily. For maximum results; consume 4 scoops of NITRO-TECH(R) daily for a minimum of six weeks.,name_without_creatine,at_least_3g
12500,1,1,0,1,3.0,3.0,115096,Nitro Tech Vanilla,Off Market,off_market,Directions: Mix 1 serving (1 scoop) with 4 to 6 oz. or mix 2 servings (2 scoops) with 8 to 12 oz. of cold water or skim milk in a glass or shaker cup. Use between major meals and after exercise. Drink 8 to 10 glasses of water daily. For maximum results; consume 4 scoops of NITRO-TECH(R) daily for a minimum of six weeks. Shake container before use.,name_without_creatine,at_least_3g
12542,1,0,1,0,,,115382,Gain Fast 3100 Strawberry Shake,Off Market,off_market,DOSAGE: Mix 5 scoops of Gain Fast(TM) with 16 oz. of your beverage of choice. Mix thoroughly (preferably in a blender with crushed ice for a rich; thick; delicious; frosty milk shake). For best results; take one to three servings of Gain Fast(TM) daily inaddition to regular meals. Use in conjunction with a proper training and nutrition program.,name_without_creatine,unusable
12650,1,1,0,1,3.0,3.0,115918,Monster Milk Banana Creme,Off Market,off_market,DIRECTIONS and USE (shaker bottle) 16 FL-OZ Mix 2 scoops (78g) into 16 fl-oz water MONSTER MILK can be used before workouts; after workouts; or prior to bedtime. Individual nutritional requirements vary depending on gender; body weight; level of activity and exercise/training intensity.CytoSport(TM) products complement a healthful eating and hydration plan that; when combined with a balanced exercise program; may contribute to healthy weight management and recovery from exercise.Use as part of a well-balanced diet that includes whole foods and other protein sources.Do not use this product as your sole source of nutrition.,name_without_creatine,at_least_3g
12707,1,1,0,1,3.0,3.0,116248,Monster Milk Cake Batter,On Market,on_market,DIRECTIONS and USE (Image) Mix 2 scoops (78g) into 16 fl-oz water MONSTER MILK can be used before workouts; after workouts; or prior to bedtime. Individual nutritional requirements vary depending on gender; body weight; level of activity and exercise/training intensity. CytoSport(TM) products complement a healthful eating and hydration plan that; when combined with a balanced exercise program; may contribute to healthy weight management and recovery from exercise. Use as part of a well-balanced diet that includes whole foods and other protein sources. Do not use this product as your sole source of nutrition.,name_without_creatine,at_least_3g
12734,1,1,0,1,4.5,4.5,116493,Creatine Monohydrate 750 mg,Off Market,off_market,SUGGESTED USAGE: As a dietary supplement; take 6 capsules with fruit juice or other sweetened liquid 4 to 6 times daily; before and after exercise; for the first 7 days. Thereafter; for maintenance use; consume 6 capsules 1 to 3 times daily. Allow 3 to 4 hours between doses.,name_contains_creatine,at_least_3g
12736,1,1,0,1,3.0,3.0,116522,Monster Milk Chocolate,Off Market,off_market,DIRECTIONS and USE (shaker bottle) 16 FL-OZ Mix 2 scoops (78g) into 16 fl-oz water MONSTER MILK can be used before workouts; after workouts; or prior to bedtime. Individual nutritional requirements vary depending on gender; body weight; level of activity and exercise/training intensity. CytoSport(TM) products complement a healthful eating and hydration plan that; when combined with a balanced exercise program; may contribute to healthy weight management and recovery from exercise. Use as part of a well-balanced diet that includes whole foods and other protein sources. Do not use this product as your sole source of nutrition.,name_without_creatine,at_least_3g
12757,1,1,0,1,3.0,3.0,116706,Monster Milk Cookies 'N Creme,Off Market,off_market,DIRECTIONS and USE (shaker bottle) 16 FL-OZ Mix 2 scoops (78g) into 16 fl-oz water MONSTER MILK can be used before workouts; after workouts; or prior to bedtime. Individual nutritional requirements vary depending on gender; body weight; level of activity and exercise/training intensity. CytoSport(TM) products complement a healthful eating and hydration plan that; when combined with a balanced exercise program; may contribute to healthy weight management and recovery from exercise. Use as part of a well-balanced diet that includes whole foods and other protein sources. Do not use this product as your sole source of nutrition.,name_without_creatine,at_least_3g
12766,1,0,1,0,,,116744,Hydravol Fruit Punch,On Market,on_market,As a dietary supplement; assess your personal tolerance by starting with one or two scoops approximately 15 minutes before exercise. Mix each scoop of Hydravol(TM) with approximately 5-6 oz. of water in a shaker or with a spoon. For maximum results use 3 scoops. For best results consume on an empty stomach.,name_without_creatine,unusable
12777,1,1,0,1,3.0,3.0,116830,Monster Milk Vanilla Creme,Off Market,off_market,DIRECTIONS and USE (shaker bottle) 16 FL-OZ Mix 2 scoops (78g) into 16 fl-oz water MONSTER MILK can be used before workouts; after workouts; or prior to bedtime. Individual nutritional requirements vary depending on gender; body weight; level of activity and exercise/training intensity. CytoSport(TM) products complement a healthful eating and hydration plan that; when combined with a balanced exercise program; may contribute to healthy weight management and recovery from exercise. Use as part of a well-balanced diet that includes whole foods and other protein sources. Do not use this product as your sole source of nutrition.,name_without_creatine,at_least_3g
12786,1,1,0,1,3.0,3.0,116979,Monster Milk Vanilla Creme,On Market,on_market,DIRECTIONS and USE (shaker bottle) 16 FL-OZ Mix 2 scoops (78g) into 16 fl-oz water MONSTER MILK can be used before workouts; after workouts; or prior to bedtime. Individual nutritional requirements vary depending on gender; body weight; level of activity and exercise/training intensity. CytoSport(TM) products complement a healthful eating and hydration plan that; when combined with a balanced exercise program; may contribute to healthy weight management and recovery from exercise. Use as part of a well-balanced diet that includes whole foods and other protein sources. Do not use this product as your sole source of nutrition.,name_without_creatine,at_least_3g
12788,1,1,0,1,3.0,3.0,117015,Monster Milk Strawberries 'N Creme,Off Market,off_market,DIRECTIONS and USE (shaker bottle) 16 FL-OZ Mix 2 scoops (78g) into 16 fl-oz water MONSTER MILK can be used before workouts; after workouts; or prior to bedtime. Individual nutritional requirements vary depending on gender; body weight; level of activity and exercise/training intensity.     CytoSport(TM) products complement a healthful eating and hydration plan that; when combined with a balanced exercise program; may contribute to healthy weight management and recovery from exercise. Use as part of a well-balanced diet that includes whole foods and other protein sources. Do not use this product as your sole source of nutrition.,name_without_creatine,at_least_3g
