dsld_id,product_name,suggested_use,review_status,direction_type,notes,reviewer,reviewed_on
287971,D-Ribose Creatine Stack Powder,DirectionsStir 1/4 of a teaspoon into a glass of water and consume 3 times daily; with meals.,source_text_reviewed,fixed_daily,Quarter teaspoon three times daily.,ChatGPT; Abdullah review pending,2026-09-08
270453,Creatine Monohydrate Pure Powder,Suggested Use: As a dietary supplement; mix 1 level tablespoon in fruit juice or other sweetened liquid 3 to 4 times daily; before and after exercise; for the first 7 days. Thereafter; for maintenance use; consume 1 to 3 times daily. Allow 3 to 4 hours between doses. For continuous use beyond 28 days; use one serving daily. Consider taking this product in combination with Best Naturals Calcium Pyruvate and D-Ribose.,source_text_reviewed,multiple_phases,Loading; maintenance range; and a separate schedule after day 28.,ChatGPT; Abdullah review pending,2026-09-08
37137,FBX Extreme Tropical Punch,FBX should be used in combination with regular exercise and a proper nutrition plan for maximum results. NOTE: READ ENTIRE LABEL PRIOR TO USEPlease read all warnings and directions before taking this product. Stay well hydrated throughout the day by drinking at least 2 liters of water daily when using this product. Directions: As a dietary supplement mix one level scoop (approximately 25g) with eight (8) ounces of cold water; 10-30 minutes prior to your workout preferably without food. Do not exceed 2 servings per day. DO NOT TAKE AFTER 6PM. CAFFEINE CONTENT MAY CAUSE SLEEPLESSNESS.,source_text_reviewed,workout_with_ceiling,One scoop before exercise; at most two servings per day is a ceiling.,ChatGPT; Abdullah review pending,2026-09-08
278236,Creatine Monohydrate,Suggested use: As a dietary supplement; mix one serving of 5 grams (one scoop) into at least 16 ounces of water or suitable beverage and drink within 15 minutes. Consume one serving per day. For best results; use this product as part of a proper diet and exercise program.,source_text_reviewed,fixed_daily,Explicitly one serving per day.,ChatGPT; Abdullah review pending,2026-09-08
298693,Creatine Monohydrate Unflavored,Directions for use: as a dietary supplement for adults; take 1 serving in 8-10 oz. of water once daily; 30 minutes before activity. Never consume more than 1 serving in a 24 hour period. Do not take within 4 hours of bedtime. Read warnings and only use as directed.,source_text_reviewed,fixed_daily,Once daily; one-serving limit.,ChatGPT; Abdullah review pending,2026-09-08
42293,Secret Sauce Punch,DIRECTIONS: Mix two scoops of SECRET SAUCE with 12 fl. oz. of water in a shaker. Shake vigorously and drink immediately after your workout.,source_text_reviewed,workout_only,Two scoops after exercise; no rest-day schedule.,ChatGPT; Abdullah review pending,2026-09-08
300198,Cell K.E.M. PR Sour Watermelon Flavor,Suggested use: As a dietary supplement mix 1 scoop (13.3g) of Cell K.E.M. with 12-16 oz. of cold water. Cell K.E.M. can be consumed before training; between meals; while training; or post-workout to boost your muscle repair and recovery.,source_text_reviewed,frequency_unspecified,Timing alternatives without a daily frequency.,ChatGPT; Abdullah review pending,2026-09-08
63175,Creatine 4200,Use in conjunction with an intense daily exercise program and a balanced diet including an adequate caloric intake. Directions: For adults; take six (6) capsules daily with juice or other glucose-containing liquid. Take this product with an adequate fluid intake. FOR MAXIMUM RESULTS; TAKE SIX (6) CAPSULES WITH JUICE DAILY.,source_text_reviewed,fixed_daily,Six capsules daily.,ChatGPT; Abdullah review pending,2026-09-08
245694,Energizing Pre-Workout Pink Lemonade,Suggested UseAs a dietary supplement; mix one scoop (8 g) with 4-6 oz. of cold water (vary the amount of water to achieve your desired taste and sweetness level). Consume 20-30 minutes before training. To achieve maximum results; take on an empty stomach. During your workout; it is recommended that you drink plenty of water. Do not consume within four hours before bedtime. Storage and Maintenance: Due to the amount of active ingredients in this product; shake before use to ensure proper ingredient mixture and effectiveness per dose.,source_text_reviewed,workout_only,One scoop before training.,ChatGPT; Abdullah review pending,2026-09-08
294028,Mitochondria-ATP,Recommendations: As a dietary supplement; take 2 capsules; 2 times daily; with meals.,source_text_reviewed,fixed_daily,Two capsules twice daily.,ChatGPT; Abdullah review pending,2026-09-08
264827,Mass XXX Vanilla,Directions: As a dietary supplement; mix 4 scoops (209.5 g) with 16 fl. oz. of cold water or your favorite beverage. Consume 1 - 2 servings daily. On training days; consume post-workout. On non-training days; consume first thing in the morning or between meals. Consume ample amounts of water while taking this product.,source_text_reviewed,daily_range,One to two servings daily; timing depends on training day.,ChatGPT; Abdullah review pending,2026-09-08
326620,Long Ball Fairway Fruit Punch,Directions for use: As a dietary supplement for adults; take 1 serving in 8-10 oz. of water once daily; 30 minutes before activity. Never consume more than 1 serving in a 24 hour period. Do not take within 4 hours of bedtime. Read warnings and only use as directed.,source_text_reviewed,fixed_daily,Once daily; one-serving limit.,ChatGPT; Abdullah review pending,2026-09-08
